산업분류,평균연령,평균근속년수,근로일수,총근로시간수,정상근로시간수,초과근로시간수,월급여총액,정액급여,초과급여,연간특별급여,근로자수
전체,42.0,6.5,20.2,167.5,155.7,11.8,3137,2911,225,5475,10510220
농업임업및어업,44.6,7.7,21.3,169.8,165.2,4.6,2853,2777,76,5875,26618
광업,51.0,8.3,22.5,187.7,166.9,20.7,3716,3308,408,5548,11890
제조업,41.6,7.3,20.8,179.9,157.4,22.5,3217,2806,411,7608,3099229
전기가스증기및수도사업,41.8,14.0,19.6,167.4,156.6,10.8,4613,4267,346,14768,66298
하수폐기물처리원료재생및환경복원업,47.1,6.9,21.3,177.9,163.6,14.3,3268,2938,330,3734,67095
건설업,44.5,5.5,20.2,165.5,158.0,7.5,3342,3156,186,2937,542566
도매및소매업,40.5,5.4,20.6,166.6,160.2,6.4,3082,2967,116,4024,1060291
운수업,48.2,8.2,20.8,167.6,152.0,15.6,2895,2582,313,4753,541018
숙박및음식점업,41.0,3.0,21.4,174.5,164.3,10.2,2084,1929,155,968,313264
출판영상방송통신및정보서비스업,37.1,6.6,19.2,158.7,151.3,7.4,3890,3710,180,5629,440641
금융및보험업,39.8,11.8,18.9,155.1,150.6,4.5,4227,4099,128,17167,396470
부동산업및임대업,53.5,4.8,18.9,173.8,170.8,3.0,2545,2473,72,2160,275119
전문과학및기술서비스업,39.2,6.7,19.3,157.2,152.9,4.3,3929,3817,111,8390,774447
사업시설관리및사업지원서비스업,40.9,4.8,19.8,162.0,151.9,10.1,2655,2497,158,2495,874672
교육서비스업,43.3,8.5,19.0,150.1,146.6,3.5,3469,3413,57,3582,440609
보건업및사회복지서비스업,42.0,4.6,20.2,158.9,152.5,6.4,2584,2457,127,2218,1190247
예술스포츠및여가관련서비스업,41.2,5.3,20.5,166.5,156.2,10.3,2738,2542,196,2477,98627
협회및단체수리및기타개인서비스업,44.8,5.2,21.0,161.3,155.1,6.2,2487,2378,110,2593,291119
