산업분류,평균연령,평균근속년수,근로일수,총근로시간수,정상근로시간수,초과근로시간수,월급여총액,정액급여,초과급여,연간특별급여,근로자수
전체,40.4,6.0,20.7,175.9,161.2,14.7,2754,2545,209,5777,9227229
농업수렵업및임업,44.9,8.4,21.0,175.7,170.1,5.6,2625,2556,69,6017,21494
어업,48.4,7.9,21.7,190.0,163.3,26.7,3046,2669,377,5554,11864
광업,39.4,6.5,21.4,187.7,161.8,25.8,2819,2461,359,8345,2962054
제조업,41.9,14.5,20.1,173.6,157.9,15.7,4159,3788,371,13535,56518
전기가스및수도사업,45.9,6.3,21.4,181.6,165.5,16.1,2696,2418,278,3063,59803
건설업,42.3,5.1,20.8,170.9,161.9,9.0,2909,2762,146,3456,484246
도매및소매업∼,38.9,4.9,21.0,174.4,165.7,8.7,2587,2463,124,4496,895849
숙박및음식점업,46.5,7.6,21.2,185.3,165.8,19.5,2484,2203,281,5205,497127
운수업,39.0,2.9,21.8,188.0,176.1,11.9,1775,1647,128,1470,234048
통신업,36.3,6.1,19.6,161.8,154.8,7.0,3325,3214,111,5057,395935
금융및보험업,38.4,10.8,19.2,157.5,152.2,5.3,3844,3722,122,13698,390856
부동산및임대업,54.1,4.2,19.1,193.1,189.7,3.4,1959,1900,60,1656,226871
사업서비스업,38.1,6.4,19.7,161.1,155.8,5.3,3472,3387,86,6715,668909
교육서비스업,41.0,4.2,20.4,173.9,158.6,15.3,2311,2129,181,2752,696976
보건및사회복지사업,41.7,8.0,19.1,153.6,149.1,4.5,3124,3070,54,3848,402171
오락문화및운동관련서비스업,39.5,4.5,20.7,168.5,160.2,8.3,2268,2143,125,2342,883148
기타공공수리및개인서비스업,39.3,5.2,20.9,173.8,161.9,11.9,2341,2166,175,2816,85103
